Genre,MovieName,positive_tweet_count,negetive_tweet_count,neutral_tweet_count,total_tweet_count
ComedyMovie,fightingwithmyfamily,25,0,12,37
KidsMovie,toystory,238,9,360,607
ComedyMovie,thesecretlifeofpets2,1,0,7,8
SciFiMovie,thewanderingearth,6,0,5,11
ActionMovie,johnwick3,90,3,123,216
ActionMovie,joker,105,1,325,431
ComedyMovie,playingwithfire,151,10,403,564
ActionMovie,hobbsandshaw,134,6,183,323
SciFiMovie,theriseofskywalker,213,15,760,988
KidsMovie,alladin,6,0,12,18
SciFiMovie,adastra,61,1,106,168
KidsMovie,frozen2,2262,50,4304,6616
ActionMovie,spiderMan,88,2,186,276
KidsMovie,lionKing,361,16,709,1086
ComedyMovie,noelle,731,9,638,1378
SciFiMovie,terminatordarkfate,637,52,1089,1778
